Category: All categories

Month,Game of Thrones: (United States)
2004-01,<1
2004-02,<1
2004-03,<1
2004-04,<1
2004-05,<1
2004-06,<1
2004-07,<1
2004-08,<1
2004-09,<1
2004-10,<1
2004-11,<1
2004-12,<1
2005-01,<1
2005-02,<1
2005-03,<1
2005-04,<1
2005-05,<1
2005-06,<1
2005-07,<1
2005-08,<1
2005-09,<1
2005-10,<1
2005-11,<1
2005-12,<1
2006-01,<1
2006-02,<1
2006-03,<1
2006-04,<1
2006-05,<1
2006-06,<1
2006-07,<1
2006-08,<1
2006-09,<1
2006-10,<1
2006-11,<1
2006-12,<1
2007-01,<1
2007-02,<1
2007-03,<1
2007-04,<1
2007-05,<1
2007-06,<1
2007-07,<1
2007-08,<1
2007-09,<1
2007-10,<1
2007-11,<1
2007-12,<1
2008-01,<1
2008-02,<1
2008-03,<1
2008-04,<1
2008-05,<1
2008-06,<1
2008-07,<1
2008-08,<1
2008-09,<1
2008-10,<1
2008-11,<1
2008-12,<1
2009-01,<1
2009-02,<1
2009-03,<1
2009-04,<1
2009-05,<1
2009-06,<1
2009-07,<1
2009-08,<1
2009-09,<1
2009-10,<1
2009-11,<1
2009-12,<1
2010-01,<1
2010-02,<1
2010-03,<1
2010-04,<1
2010-05,<1
2010-06,<1
2010-07,<1
2010-08,<1
2010-09,<1
2010-10,<1
2010-11,<1
2010-12,<1
2011-01,1
2011-02,1
2011-03,1
2011-04,9
2011-05,10
2011-06,15
2011-07,8
2011-08,6
2011-09,6
2011-10,4
2011-11,4
2011-12,5
2012-01,5
2012-02,5
2012-03,10
2012-04,23
2012-05,21
2012-06,19
2012-07,10
2012-08,8
2012-09,7
2012-10,5
2012-11,5
2012-12,7
2013-01,7
2013-02,9
2013-03,17
2013-04,28
2013-05,25
2013-06,37
2013-07,14
2013-08,10
2013-09,9
2013-10,7
2013-11,8
2013-12,11
2014-01,14
2014-02,13
2014-03,16
2014-04,48
2014-05,36
2014-06,42
2014-07,15
2014-08,11
2014-09,9
2014-10,7
2014-11,8
2014-12,11
2015-01,11
2015-02,12
2015-03,14
2015-04,35
2015-05,28
2015-06,41
2015-07,14
2015-08,9
2015-09,9
2015-10,8
2015-11,8
2015-12,10
2016-01,9
2016-02,9
2016-03,12
2016-04,32
2016-05,47
2016-06,52
2016-07,21
2016-08,10
2016-09,9
2016-10,8
2016-11,8
2016-12,10
2017-01,11
2017-02,9
2017-03,10
2017-04,9
2017-05,11
2017-06,14
2017-07,58
2017-08,80
2017-09,21
2017-10,11
2017-11,8
2017-12,10
2018-01,9
2018-02,7
2018-03,7
2018-04,7
2018-05,7
2018-06,7
2018-07,9
2018-08,8
2018-09,8
2018-10,7
2018-11,8
2018-12,11
2019-01,15
2019-02,14
2019-03,24
2019-04,100
2019-05,89
2019-06,12
2019-07,7
2019-08,5
2019-09,5
2019-10,5
2019-11,5
2019-12,5
2020-01,4
2020-02,4
2020-03,4
2020-04,5
2020-05,5
2020-06,4
2020-07,4
2020-08,4
2020-09,4
2020-10,4
2020-11,4
2020-12,5
2021-01,5
2021-02,5
2021-03,4
2021-04,5
2021-05,5
2021-06,4
2021-07,4
2021-08,4
2021-09,4
2021-10,4
2021-11,4
2021-12,4
2022-01,5
2022-02,4
2022-03,4
