Category: All categories

Month,New Girl: (United States)
2004-01,1
2004-02,<1
2004-03,<1
2004-04,1
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,1
2004-10,1
2004-11,1
2004-12,1
2005-01,<1
2005-02,<1
2005-03,<1
2005-04,1
2005-05,1
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,1
2005-11,1
2005-12,1
2006-01,1
2006-02,1
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,<1
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,1
2007-10,1
2007-11,1
2007-12,1
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,1
2008-11,1
2008-12,1
2009-01,2
2009-02,1
2009-03,1
2009-04,2
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,2
2009-11,2
2009-12,2
2010-01,2
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,2
2010-07,2
2010-08,2
2010-09,2
2010-10,2
2010-11,3
2010-12,2
2011-01,4
2011-02,2
2011-03,2
2011-04,2
2011-05,8
2011-06,9
2011-07,10
2011-08,11
2011-09,94
2011-10,100
2011-11,99
2011-12,82
2012-01,70
2012-02,78
2012-03,65
2012-04,74
2012-05,57
2012-06,20
2012-07,19
2012-08,19
2012-09,51
2012-10,67
2012-11,51
2012-12,48
2013-01,56
2013-02,67
2013-03,58
2013-04,60
2013-05,59
2013-06,19
2013-07,60
2013-08,56
2013-09,93
2013-10,80
2013-11,67
2013-12,49
2014-01,58
2014-02,67
2014-03,45
2014-04,39
2014-05,30
2014-06,20
2014-07,22
2014-08,23
2014-09,50
2014-10,50
2014-11,47
2014-12,44
2015-01,38
2015-02,27
2015-03,27
2015-04,26
2015-05,29
2015-06,24
2015-07,20
2015-08,26
2015-09,36
2015-10,31
2015-11,26
2015-12,29
2016-01,83
2016-02,63
2016-03,47
2016-04,43
2016-05,46
2016-06,24
2016-07,22
2016-08,22
2016-09,43
2016-10,50
2016-11,36
2016-12,34
2017-01,38
2017-02,32
2017-03,33
2017-04,37
2017-05,23
2017-06,19
2017-07,19
2017-08,20
2017-09,22
2017-10,26
2017-11,27
2017-12,29
2018-01,35
2018-02,33
2018-03,32
2018-04,61
2018-05,58
2018-06,33
2018-07,30
2018-08,24
2018-09,20
2018-10,19
2018-11,21
2018-12,26
2019-01,27
2019-02,22
2019-03,19
2019-04,24
2019-05,18
2019-06,17
2019-07,20
2019-08,19
2019-09,18
2019-10,16
2019-11,16
2019-12,18
2020-01,24
2020-02,18
2020-03,23
2020-04,34
2020-05,32
2020-06,30
2020-07,40
2020-08,41
2020-09,43
2020-10,41
2020-11,38
2020-12,39
2021-01,44
2021-02,38
2021-03,29
2021-04,29
2021-05,30
2021-06,29
2021-07,25
2021-08,25
2021-09,22
2021-10,20
2021-11,24
2021-12,32
2022-01,34
2022-02,23
2022-03,22
